userid,retweet_count,top_5_tweets,user_screen_name,user_display_name,user_profile_description,follower_count,following_count
1687183549,2534.0,"['White Privilege must b nice hssqs://t.co/uuWVxORmFg<ET>', 'THIS SHIT HAS TO FUCKING STOP!! MAKE THIS GO VIRAL AND HELP THAT MAN GET JUSTICE! #PoliceBrutality #BlackLivesMatter hssqs://t.co/klurPNyKF5<ET>', '#BlackLivesMatter to march in Detroit on anniversary of #AiyanaJones shooting #policebruality hssqs://t.co/QEBNS3NQaB<ET>', 'Scumbag should be fired.. fawk he keeping a gun on unarmed people!? #PoliceBrutality #BTP hssqs://t.co/nZu39hHMX1<ET>', 'Police killed 346 black people in 2015. Every 25 hours. Amazing.']",BleepThePolice,Bleep The Police,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",21098,8599
4437233895,2410.0,"['Only fools debate the equality of women. Listen to Dr.John Henrik Clarke hssqs://t.co/R4zUJEzzpe<ET>', 'Whitney Ingram makes history as UGA’s first black woman to earn Physics PhD. #BlackWomenDidThat hssqs://t.co/ABUb5rKRqi<ET>', 'Wow! Poetry in motion ....wonderful! Just wait on it hssqs://t.co/wuoExJZGSg<ET>', 'Subway station busker has a real talent for soulful singing.   Powerful voice! Nice guitar! Great combination too good for the subway! hssqs://t.co/TOgb39zOrh<ET>', 'Did this French journalist equate having Down syndrome to being black? hssqs://t.co/rjFJTI0Oeh']",Crystal1Johnson,Crystal Johnson,It is our responsibility to promote the positive things that happen in our communities.,56581,31117
4508630900,2295.0,"[""Muslim spits in Texas cop's face Do you really believe we should let more of these scumbags into America? hssqs://t.co/8Po1j0WGLG<ET>"", ""ISIS leader calls for American Muslim voters to Support Hillary. Imagine my shock!  Of course he would, she's arming them!  #ImWithHer hssqs://t.co/aXPSJ8cLjp<ET>"", ""I'm just going to leave it here hssqs://t.co/YWjBSiRZUc<ET>"", 'Islam wants you to die #HonestyIn5Words hssqs://t.co/VJl1chkey5<ET>', 'CNN misspells chief while mocking Trump for covfefe hahahah hssqs://t.co/bHKNDlBUEi']",TheFoundingSon,John Davis,"Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",47413,29429
905514350684844036,1646.0,"['Ryan Coogler directed Fruitvale Station at 27, Creed at 29 and now Black Panther at 31 years old. 🙌🏾🙌🏾 hssqs://t.co/ug1ibppPaM<ET>', 'All the feels: Teachers and students at a school in Puerto Rico jump for joy after the school gets electricity back for the first time in 112 days since Hurricane Maria struck. hssqs://t.co/oxt4U3Wtbz<ET>', 'One of these people killed 17 students &amp; is alive. One was illegally choked to death...but “all lives matter,” right? hssqs://t.co/SGDIbdDYdN<ET>', 'Nothing says true love more than pushing your own wife... hssqs://t.co/bAWv98hvVC<ET>', 'Senegalese model Khoudia Diop: \'My goal is to make all my dark-skinned sisters out there laugh at those with their ""beauty standards""\' hssqs://t.co/uViEGmejkT']",JemiSHaaaZzz,Jemisha,"Teacher, Reader, Writer, Resister. #Resistance RESPECT LOVE LOYALTY",16006,12636
4437444442,1619.0,"['Border Patrol: ""There\'s no greater physical or economic threat to Americans today than our open border"" hssqs://t.co/XsqFj08ofp<ET>', '""Voting Hillary because she\'s a woman is like drinking antifreeze because it looks like Gatorade"" ~ Greg Gutfeld hssqs://t.co/9Rhv9DpeQr<ET>', 'Am I the only one who noticed that Hillary is American Merkel?🤔  #NeverHillary hssqs://t.co/1TZSdGHzm7<ET>', 'Dear Anti-Trump protesters,   When you burn our flag 🇺🇸 you prove once again why we need President Trump! hssqs://t.co/Hq3rm215k4<ET>', 'Exit polls: Nearly half of W.Va. Sanders backers would vote Trump hssqs://t.co/ObxYECYfGy  #Trump2016 hssqs://t.co/Z2LNxPypX9']",PamelaKealer13,Pamela Kealer,,10226,10184
3899481526,1519.0,"['Shia and Sunni pray side by side on the site of #IS bombing that took over 200 lives in #Karrada  #Baghdad hssqs://t.co/RWshuPuJU7<ET>', '#Iraq #Anbar | Iraqi Air Force destroys #ISIS military convoy in Rawa district hssqs://t.co/9fbIZDuM8n<ET>', ""#Iraq | New #ISIS video from 'Wilayat al-Jazirah' shows children beheading hostages hssqs://t.co/8SyiAEBO1C<ET>"", 'Opposition supporters celebrating the breaking of #Aleppo siege hssqs://t.co/BnMQxol6dL<ET>', '#IS jihadis crucifying civilians for breaking #Ramadan fast  hssqs://t.co/RZRDYnAJ1V hssqs://t.co/1tYkSYSrRW']",todayinsyria,Syria Today,News about war in #Syria & #ISIS join us on telegram channel: https://t.co/mP25oJmJdz,35122,9500
4217244274,1239.0,"['Black Doctors graduate from Florida A&amp;M University hssqs://t.co/16fU1I8fqH<ET>', 'This powerful advertisement is part of the UN Women autocomplete campaign. hssqs://t.co/GGWjsyox8i<ET>', ""'Jails and prisons are designed to break human beings..' #BlackTwitter hssqs://t.co/xjfFDXIEm5<ET>"", 'Autopsy Proves Black Child Fatally Shot By Cops Was In Fact SHOT IN THE BACK Three Times hssqs://t.co/vAowIwx1k3 hssqs://t.co/Z2WI1JCtQy<ET>', 'You know why cops talk about gang violence? They are experts in it! #BlackLivesMatter #FreddieGray hssqs://t.co/7f6CPiX0KH']",Blk_Voice,Yahaya Thinbu,Activist. Feminist. Celebrating and highlighting Black excellence.,11766,6966
3978316814,1113.0,"[""We are very much #problack. But that in no way means that we're anti any other race or ethnicity. #BlackMatters hssqs://t.co/TffLIl6VHW<ET>"", 'We should not be afraid to talk about racism. #BlackMatters #BlackHistoryMonth  hssqs://t.co/cLzU0xG4Yw hssqs://t.co/s7v01J9WZ6<ET>', ""Racist Fox News will always be racists. It's 2016 and we should accept that!? #BlackMatters #BLM hssqs://t.co/b4EuP4fgeS<ET>"", ""Cop Posted This on his #Facebook page. Got fired. That's how you deal with #racism. #BLM #BlackLivesMatter hssqs://t.co/GjHFP1PdAC<ET>"", ""#TrayvonMartin would've turned 21 today. Let's honor his memory. #BlackMatters #BlackLivesMatter hssqs://t.co/fNR0QmHq8Z""]",blackmattersus,BlackMatters,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",20019,14112
2912754262,1088.0,"[""Boston bomber's family recieved $100,000 in welfare. Fed up yet? hssqs://t.co/0uetLrFqQq<ET>"", 'Conservaphobia - an irrational fear that someone might have to live without government regulation and benefits hssqs://t.co/oQwkfKLX5m<ET>', 'I truly am at a loss for words... hssqs://t.co/fPtaBvuLJ8<ET>', '#Muslims in America! Get the facts When the Muslim population reaches a certain level, Sharia Law will be imposed hssqs://t.co/GAp148Z22K<ET>', 'SHAMELESS: Leftist media blames #Brussels terror attacks…on Brussels itself?! hssqs://t.co/xZ3Jw0zYHA']",PigeonToday,Pigeon Today,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",32347,21336
4299815909,1024.0,"['Remember this picture next time you hear that we have a chance of having the first woman president. hssqs://t.co/oNFersRNZC<ET>', 'And he is just one out of thousands of CIA victims who tried to do the same. hssqs://t.co/CyD2Sbh94o<ET>', 'Unfortunately, this will never happen. Press is just a part of a big corrupt government. hssqs://t.co/ofYkyFh6W1<ET>', 'Today is the anniversary of Martin Luther King\'s ""I Have A Dream"" speech. I Have A Dream, Too! hssqs://t.co/tgJP8ksKIM<ET>', ""Seriously, people. Are you so blind that don't see it? hssqs://t.co/imF1GIakfv""]",Jeblary2016,Jeblary Bushton,2016 US presidential candidate,7658,6553
